,news_url,title,text,source_name,date,topics,sentiment,type,news_id,rank_score
0,https://www.youtube.com/watch?v=PAwREs7snJk,How Netflix is everything to everyone,"Netflix is sitting on the streaming throne because it lives by the old motto, ""content is king.""",CNN,2018-06-28 20:00:00-04:00,[],Neutral,Video,1190,5.61
1,https://www.youtube.com/watch?v=HImeospbbac,Netflix can't be taken over?,SteelHouse CEO Mark Douglas on the future of Netflix.,Fox Business,2018-06-12 20:00:00-04:00,[],Neutral,Video,1085,6.49
2,https://www.youtube.com/watch?v=wjJnT3IFn4s,"Cash Burn 'Not a Concern' for Netflix, Says Helfstein","Jason Helfstein, Oppenheimer senior analyst, discusses the outlook for Netflix with Bloomberg's Shery Ahn on Bloomberg Markets.",Bloomberg Technology,2018-04-16 20:00:00-04:00,[],Neutral,Video,417,5.24
3,https://www.youtube.com/watch?v=U7suUbVzGH0,"Netflix earnings, subscriber growth beat Wall Street expectations",FBN's Nicole Petallides on how Netflix's earnings report was stronger than expected.,Fox Business,2018-04-15 20:00:00-04:00,[],Neutral,Video,415,6.49
4,https://www.youtube.com/watch?v=8NS96g6TlWg,Netflix Tops Revenue and Subscriber Estimates,"Netflix first-quarter profit rose to 64 cents a share while adding 7.41 million subscribers, topping analysts' projections of 6.35 million. Bloomberg Intelligence's Paul Sweeney reports on What'd You Miss?",Bloomberg Technology,2018-04-15 20:00:00-04:00,[],Neutral,Video,411,5.24
5,https://www.youtube.com/watch?v=pvw45y7DBrM,Netflix and Kill ?,"Robert Thompson, Bleier Center for Television and Popular Culture at Syracuse University director, and Stephen Battaglio, Los Angeles Times television writer, discuss the landscape for traditional cable and streaming media. They also weigh in on the successful revival of “Roseanne.”",CNBC,2018-03-29 20:00:00-04:00,[],Neutral,Video,145,6.56
6,https://www.youtube.com/watch?v=vjUW-L35DkA,Netflix Lands Big Talent For $300 Million. Why Experts Say It's Worth It,"Stephen Battaglio, Los Angeles Times TV and film writer, and Michael Morris, Guggenheim Securities managing director, discuss Netflix's major deal with TV producer Ryan Murphy and whether that's a good investment for the streaming media giant.",CNBC,2018-02-13 19:00:00-05:00,[],Neutral,Video,353,6.56
0,https://www.youtube.com/watch?v=6IdS8LrQAnM,Netflix plans to double its investment in France,CNBC's 'Squawk Box' team discusses Netflix CEO Reed Hastings doubling Netflix's investments in France and the decision to produce 14 local shows in the area.,CNBC Television,2018-09-27 20:00:00-04:00,[],Neutral,Video,3705,6.54
1,https://www.youtube.com/watch?v=yI-IhtCIq04,Legendary agent Michael Ovitz discusses Netflix's brilliant takedown of Hollywood,"Michael Ovitz, co-founder of Creative Artists Agency, which represents actors like Tom Cruise and Robert De Niro, said on CNBC's Halftime Report he admired how companies like Netflix are capitalizing on a shifting viewer habits.",CNBC Television,2018-09-24 20:00:00-04:00,[],Neutral,Video,3583,6.54
2,https://www.youtube.com/watch?v=-9tiPJBD0_Y,Traders discuss whether Netflix will be biggest winner of this year's Emmy Awards,"Is Netflix the new king of content? With CNBC's Julia Boorstin and Scott Wapner, and the Fast Money traders, Tim Seymour, Karen Finerman, Steve Grasso and Guy Adami.",CNBC Television,2018-09-16 20:00:00-04:00,[],Neutral,Video,3160,6.54
3,https://www.youtube.com/watch?v=K8AC5FuN55A,Netflix board member on the future of content,"Jay Hoag, Technology Crossover Ventures founding general partner and Netflix board member, joins the 'Squawk Alley' team to discuss Netflix, the tech sell-off and the future of content.",CNBC Television,2018-09-05 20:00:00-04:00,[],Neutral,Video,2792,6.54
4,https://www.youtube.com/watch?v=tMPvEolFB9s,Netflix copes with millennials sharing account passwords,"CNBC's Julia Boorstin reports Netflix is testing personalized promos between episodes instead of traditional ads. Also, a new study shows millennials are the generation that shares account passwords the most.",CNBC Television,2018-08-19 20:00:00-04:00,[],Neutral,Video,2322,6.54
5,https://www.youtube.com/watch?v=pzNn7uyg2Cw,Netflix's big content deals: Are they worth it?,"Cynthia Littleton, Variety managing editor of television, discusses whether Netflix's big spending on original content deals is paying off.",CNBC Television,2018-08-16 20:00:00-04:00,[],Neutral,Video,2274,6.54
6,https://www.youtube.com/watch?v=VxdTJVPku8E,Netflix CFO David Wells to step down,Netflix CFO David Wells will step away from the role to focus on philanthropy. CNBC's Jim Cramer talks about his legacy.,CNBC Television,2018-08-12 20:00:00-04:00,[],Neutral,Video,2089,6.54
7,https://www.youtube.com/watch?v=UElK6FSwW30,What Netflix CFO stepping down means for the company,"Tom Dotan, reporter for The Information, breaks down the implications for Netflix now that CFO David Wells is stepping down after 14 years at the company.",CNBC Television,2018-08-12 20:00:00-04:00,[],Neutral,Video,2117,6.54
8,https://www.youtube.com/watch?v=YC7Dh6z0rgw,Netflix's big reversal,"Can anything take tech down? Nasdaq hits another all-time high. With CNBC's Melissa Lee and the Fast Money traders, Tim Seymour, Karen Finerman, Steve Grasso and Guy Adami.",CNBC Television,2018-07-16 20:00:00-04:00,[],Neutral,Video,1358,6.54
9,https://www.youtube.com/watch?v=DxkRcytg6s4,"Netflix continues to produce 'tidal wave' of streaming content, says Variety managing editor","Cynthia Littleton, Variety TV managing editor, discusses Netflix's enormous growth and ""stunning"" influence.",CNBC Television,2018-07-15 20:00:00-04:00,[],Neutral,Video,1331,6.54
